,semantic,contextual
0,yusufolonade/data-science-job-postings-indeed-usa,adarshsng/lending-club-loan-data-csv
1,andrewmvd/data-engineer-jobs,dansbecker/aer-credit-card-data
2,andrewmvd/data-analyst-jobs,caesarmario/our-world-in-data-covid19-dataset
3,asaniczka/data-science-job-postings-and-skills,emreksz/data-scientist-job-roles-in-uk
4,asaniczka/1-3m-linkedin-jobs-and-skills-2024,thebumpkin/2000s-classic-movies-with-tmdb-data
5,asaniczka/data-scientist-linkedin-job-postings,juicobowley/drake-lyrics
6,asaniczka/data-analyst-job-postings,amanbhattarai695/data-analyst-job-roles-in-canada
7,asaniczka/upwork-job-postings-dataset-2024-50k-records,swaptr/bitcoin-historical-data
8,amanbhattarai695/data-analyst-job-roles-in-canada,hasnainkhan0123/binary-image-classification
9,asaniczka/all-jobs-on-upwork-200k-plus,asaniczka/all-jobs-on-upwork-200k-plus
